A_C M/S/B exact-fiber comparison mechanical verifier
Snapshot date: 2026-08-30
Orientation: U-M
Claim boundary: mechanical checks only; no PBE-completeness or abstract-factorization claim

PASS | frozen byte hash: quality_reports/plans/2026-08-30_autorizacao_inicio_A_C_msb.md
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) nu_star is interior
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) T5 algebraic identity
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) T5 sign equivalence
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) low-cell margin identity
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) parity identity for c/m
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[37]:N=3,beta=0.60,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) nu_star is interior
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) T5 algebraic identity
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) T5 sign equivalence
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) low-cell margin identity
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) parity identity for c/m
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[38]:N=4,beta=0.60,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) nu_star is interior
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) T5 algebraic identity
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) T5 sign equivalence
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) low-cell margin identity
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) parity identity for c/m
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[39]:N=5,beta=0.60,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) nu_star is interior
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) T5 algebraic identity
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) T5 sign equivalence
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) low-cell margin identity
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) parity identity for c/m
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[40]:N=13,beta=0.60,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) nu_star is interior
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) T5 algebraic identity
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) T5 sign equivalence
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) low-cell margin identity
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) parity identity for c/m
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[41]:N=3,beta=0.90,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) nu_star is interior
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) T5 algebraic identity
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) T5 sign equivalence
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) low-cell margin identity
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) parity identity for c/m
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) outside T5 region bound alone does not certify majority
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[42]:N=4,beta=0.90,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) nu_star is interior
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) T5 algebraic identity
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) T5 sign equivalence
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) low-cell margin identity
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) parity identity for c/m
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[43]:N=5,beta=0.90,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) nu_star is interior
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) T5 algebraic identity
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) T5 sign equivalence
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) low-cell margin identity
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) parity identity for c/m
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[44]:N=13,beta=0.90,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) nu_star is interior
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) T5 algebraic identity
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) T5 sign equivalence
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) low-cell margin identity
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) parity identity for c/m
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[45]:N=3,beta=0.99,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) nu_star is interior
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) T5 algebraic identity
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) T5 sign equivalence
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) low-cell margin identity
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) parity identity for c/m
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) outside T5 region bound alone does not certify majority
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[46]:N=4,beta=0.99,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) nu_star is interior
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) T5 algebraic identity
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) T5 sign equivalence
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) low-cell margin identity
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) parity identity for c/m
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[47]:N=5,beta=0.99,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) nu_star is interior
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) T5 algebraic identity
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) T5 sign equivalence
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) low-cell margin identity
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) parity identity for c/m
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[48]:N=13,beta=0.99,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) nu_star is interior
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) T5 algebraic identity
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) T5 sign equivalence
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) low-cell margin identity
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) parity identity for c/m
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) strict T5 region has Z_E above all U values
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[49]:N=3,beta=0.20,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) nu_star is interior
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) T5 algebraic identity
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) T5 sign equivalence
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) low-cell margin identity
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) parity identity for c/m
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) strict T5 region has Z_E above all U values
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[50]:N=4,beta=0.20,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) nu_star is interior
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) T5 algebraic identity
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) T5 sign equivalence
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) low-cell margin identity
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) parity identity for c/m
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) strict T5 region has Z_E above all U values
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[51]:N=5,beta=0.20,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) nu_star is interior
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) T5 algebraic identity
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) T5 sign equivalence
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) low-cell margin identity
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) parity identity for c/m
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) strict T5 region has Z_E above all U values
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[52]:N=13,beta=0.20,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) nu_star is interior
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) T5 algebraic identity
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) T5 sign equivalence
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) low-cell margin identity
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) parity identity for c/m
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) outside T5 region bound alone does not certify majority
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[53]:N=3,beta=0.60,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) nu_star is interior
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) T5 algebraic identity
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) T5 sign equivalence
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) low-cell margin identity
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) parity identity for c/m
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) outside T5 region bound alone does not certify majority
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[54]:N=4,beta=0.60,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) nu_star is interior
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) U payoff bounds are ordered
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) T5 algebraic identity
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) T5 sign equivalence
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) low-cell margin identity
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) strict low-cell region has Z_E above z_L
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) parity identity for c/m
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) outside T5 region bound alone does not certify majority
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) endpoint zero payoff vector below z_H
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) endpoint one payoff vector equals z_H
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) low cell at p=0 follows Delta condition
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) low positive off-path belief is none
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) high p=0 cell is H0
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) high boundary p=nu_star is none
PASS | grid[55]:N=5,beta=0.60,o=(0.80,0.95) high p>nu_star cell is HB
PASS | grid[56]:N=13,beta=0.60,o=(0.80,0.95) nu_star is interior
PASS | grid[56]:N=13,beta=0.60,o=(0.80,0.95) U payoff bounds are ordered
